Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample
personality,24,0.9177288528389339,0.7203513239267079,0.005076734398297609,19,59,2210,21,0.8010716092915446
Heart,24,0.9055374592833876,0.7203513239267079,0.005076734398297609,19,59,2210,21,0.8010716092915446
Loan,24,0.9772727272727273,0.7203513239267079,0.005076734398297609,19,59,2210,21,0.8010716092915446
Machine,24,0.8945147679324894,0.7203513239267079,0.005076734398297609,19,59,2210,21,0.8010716092915446
personality,25,0.9187935034802784,0.6205915004999957,0.004900507735987363,3,1,3524,145,0.6579579488364892
Heart,25,0.8976897689768977,0.6205915004999957,0.004900507735987363,3,1,3524,145,0.6579579488364892
Loan,25,0.9642184557438794,0.6205915004999957,0.004900507735987363,3,1,3524,145,0.6579579488364892
Machine,25,0.8991596638655462,0.6205915004999957,0.004900507735987363,3,1,3524,145,0.6579579488364892
personality,26,0.8997668997668997,0.7957811041110252,0.2764239633707395,6,55,252,142,0.6968639753109703
Heart,26,0.868421052631579,0.7957811041110252,0.2764239633707395,6,55,252,142,0.6968639753109703
Loan,26,0.9792060491493384,0.7957811041110252,0.2764239633707395,6,55,252,142,0.6968639753109703
Machine,26,0.8813559322033898,0.7957811041110252,0.2764239633707395,6,55,252,142,0.6968639753109703
personality,27,0.9177288528389339,0.9212559025519583,0.014621492226263782,4,70,1980,116,0.6602870175861718
Heart,27,0.8844884488448845,0.9212559025519583,0.014621492226263782,4,70,1980,116,0.6602870175861718
Loan,27,0.9792060491493384,0.9212559025519583,0.014621492226263782,4,70,1980,116,0.6602870175861718
Machine,27,0.8860759493670886,0.9212559025519583,0.014621492226263782,4,70,1980,116,0.6602870175861718
personality,28,0.8833922261484098,0.8032795106962874,0.05291912967258153,5,20,2861,109,0.8048372233197124
Heart,28,0.8896321070234113,0.8032795106962874,0.05291912967258153,5,20,2861,109,0.8048372233197124
Loan,28,0.9811320754716981,0.8032795106962874,0.05291912967258153,5,20,2861,109,0.8048372233197124
Machine,28,0.8851063829787233,0.8032795106962874,0.05291912967258153,5,20,2861,109,0.8048372233197124
personality,29,0.8865497076023392,0.6905983100791752,0.03964343081606948,22,33,2009,147,0.8071005402109921
Heart,29,0.8881578947368421,0.6905983100791752,0.03964343081606948,22,33,2009,147,0.8071005402109921
Loan,29,0.9753320683111955,0.6905983100791752,0.03964343081606948,22,33,2009,147,0.8071005402109921
Machine,29,0.8793103448275862,0.6905983100791752,0.03964343081606948,22,33,2009,147,0.8071005402109921
personality,30,0.8839390386869871,0.9350840423629312,0.04718091406886759,20,23,4111,61,0.7031766510860622
Heart,30,0.8903654485049833,0.9350840423629312,0.04718091406886759,20,23,4111,61,0.7031766510860622
Loan,30,0.9712092130518234,0.9350840423629312,0.04718091406886759,20,23,4111,61,0.7031766510860622
Machine,30,0.8765957446808511,0.9350840423629312,0.04718091406886759,20,23,4111,61,0.7031766510860622
personality,31,0.8785046728971962,0.8639936184136716,0.10576902036995886,22,60,2099,148,0.6372411071223597
Heart,31,0.875,0.8639936184136716,0.10576902036995886,22,60,2099,148,0.6372411071223597
Loan,31,0.9772727272727273,0.8639936184136716,0.10576902036995886,22,60,2099,148,0.6372411071223597
Machine,31,0.8706896551724138,0.8639936184136716,0.10576902036995886,22,60,2099,148,0.6372411071223597
personality,32,0.8849765258215962,0.9588863031813307,0.1699983505425299,11,99,1732,67,0.9386644568953224
Heart,32,0.8778877887788779,0.9588863031813307,0.1699983505425299,11,99,1732,67,0.9386644568953224
Loan,32,0.9752380952380952,0.9588863031813307,0.1699983505425299,11,99,1732,67,0.9386644568953224
Machine,32,0.8680851063829788,0.9588863031813307,0.1699983505425299,11,99,1732,67,0.9386644568953224
personality,33,0.910360884749709,0.942529716751237,0.010046520607332412,3,24,4773,94,0.9742539976883791
Heart,33,0.88,0.942529716751237,0.010046520607332412,3,24,4773,94,0.9742539976883791
Loan,33,0.9734848484848485,0.942529716751237,0.010046520607332412,3,24,4773,94,0.9742539976883791
Machine,33,0.8898305084745762,0.942529716751237,0.010046520607332412,3,24,4773,94,0.9742539976883791
personality,34,0.9187935034802784,0.9141362604455774,0.045411413993144883,5,89,148,112,0.7135683898949863
Heart,34,0.9019607843137255,0.9141362604455774,0.045411413993144883,5,89,148,112,0.7135683898949863
Loan,34,0.9809885931558935,0.9141362604455774,0.045411413993144883,5,89,148,112,0.7135683898949863
Machine,34,0.9029535864978903,0.9141362604455774,0.045411413993144883,5,89,148,112,0.7135683898949863
personality,35,0.9177288528389339,0.7221455441377573,0.015956004517367204,5,80,1006,87,0.69489963499872
Heart,35,0.898360655737705,0.7221455441377573,0.015956004517367204,5,80,1006,87,0.69489963499872
Loan,35,0.9792060491493384,0.7221455441377573,0.015956004517367204,5,80,1006,87,0.69489963499872
Machine,35,0.9029535864978903,0.7221455441377573,0.015956004517367204,5,80,1006,87,0.69489963499872
personality,36,0.8860164512338425,0.7301598792637071,0.07065611041980592,10,7,1268,147,0.8273234413341887
Heart,36,0.8947368421052632,0.7301598792637071,0.07065611041980592,10,7,1268,147,0.8273234413341887
Loan,36,0.973384030418251,0.7301598792637071,0.07065611041980592,10,7,1268,147,0.8273234413341887
Machine,36,0.8945147679324894,0.7301598792637071,0.07065611041980592,10,7,1268,147,0.8273234413341887
personality,37,0.8982456140350877,0.637469907131237,0.008144728866345183,24,30,3486,70,0.9568186220708453
Heart,37,0.8940397350993378,0.637469907131237,0.008144728866345183,24,30,3486,70,0.9568186220708453
Loan,37,0.975517890772128,0.637469907131237,0.008144728866345183,24,30,3486,70,0.9568186220708453
Machine,37,0.8936170212765957,0.637469907131237,0.008144728866345183,24,30,3486,70,0.9568186220708453
personality,38,0.9057471264367816,0.8524554503989051,0.09307734217255954,3,28,1009,80,0.7996773519539009
Heart,38,0.882943143812709,0.8524554503989051,0.09307734217255954,3,28,1009,80,0.7996773519539009
Loan,38,0.9734848484848485,0.8524554503989051,0.09307734217255954,3,28,1009,80,0.7996773519539009
Machine,38,0.8803418803418803,0.8524554503989051,0.09307734217255954,3,28,1009,80,0.7996773519539009
personality,39,0.8815943728018757,0.8288016796836732,0.08013117005374264,19,44,1293,65,0.9659457560881795
Heart,39,0.8741721854304636,0.8288016796836732,0.08013117005374264,19,44,1293,65,0.9659457560881795
Loan,39,0.9792060491493384,0.8288016796836732,0.08013117005374264,19,44,1293,65,0.9659457560881795
Machine,39,0.8755364806866953,0.8288016796836732,0.08013117005374264,19,44,1293,65,0.9659457560881795
personality,40,0.9187935034802784,0.7480634801021777,0.0010921641411931137,19,46,4326,114,0.9854479908357011
Heart,40,0.9120521172638436,0.7480634801021777,0.0010921641411931137,19,46,4326,114,0.9854479908357011
