Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,Avg_F1
personality,27,0.8815943728018757,0.8032795106962874,0.0529191296725815,10,20,2861,109,0.8048372233197124,0.9134981916218495
Heart,27,0.8976897689768977,0.8032795106962874,0.0529191296725815,10,20,2861,109,0.8048372233197124,0.9134981916218495
Loan,27,0.9772727272727272,0.8032795106962874,0.0529191296725815,10,20,2861,109,0.8048372233197124,0.9134981916218495
Machine,27,0.8974358974358975,0.8032795106962874,0.0529191296725815,10,20,2861,109,0.8048372233197124,0.9134981916218495
personality,28,0.8815943728018757,0.6905983100791752,0.0396434308160694,11,33,2009,147,0.8071005402109921,0.9061947006249143
Heart,28,0.8874172185430463,0.6905983100791752,0.0396434308160694,11,33,2009,147,0.8071005402109921,0.9061947006249143
Loan,28,0.9754253308128544,0.6905983100791752,0.0396434308160694,11,33,2009,147,0.8071005402109921,0.9061947006249143
Machine,28,0.8803418803418803,0.6905983100791752,0.0396434308160694,11,33,2009,147,0.8071005402109921,0.9061947006249143
personality,29,0.8943661971830986,0.9350840423629312,0.0471809140688675,8,89,4111,61,0.7031766510860622,0.9014887882464047
Heart,29,0.8778877887788779,0.9350840423629312,0.0471809140688675,8,89,4111,61,0.7031766510860622,0.9014887882464047
Loan,29,0.9753320683111956,0.9350840423629312,0.0471809140688675,8,89,4111,61,0.7031766510860622,0.9014887882464047
Machine,29,0.8583690987124464,0.9350840423629312,0.0471809140688675,8,89,4111,61,0.7031766510860622,0.9014887882464047
personality,30,0.88,0.8639936184136716,0.1057690203699588,8,60,2099,148,0.6372411071223597,0.902146057227979
Heart,30,0.8786885245901639,0.8639936184136716,0.1057690203699588,8,60,2099,148,0.6372411071223597,0.902146057227979
Loan,30,0.9792060491493384,0.8639936184136716,0.1057690203699588,8,60,2099,148,0.6372411071223597,0.902146057227979
Machine,30,0.8706896551724138,0.8639936184136716,0.1057690203699588,8,60,2099,148,0.6372411071223597,0.902146057227979
personality,31,0.8833922261484098,0.9588863031813308,0.1699983505425299,10,9,3220,67,0.9386644568953224,0.9103745388302373
Heart,31,0.8910891089108911,0.9588863031813308,0.1699983505425299,10,9,3220,67,0.9386644568953224,0.9103745388302373
Loan,31,0.9771863117870724,0.9588863031813308,0.1699983505425299,10,9,3220,67,0.9386644568953224,0.9103745388302373
Machine,31,0.8898305084745762,0.9588863031813308,0.1699983505425299,10,9,3220,67,0.9386644568953224,0.9103745388302373
personality,32,0.8894117647058823,0.942529716751237,0.0100465206073324,8,24,4773,94,0.9742539976883792,0.9076762659336635
Heart,32,0.8896321070234113,0.942529716751237,0.0100465206073324,8,24,4773,94,0.9742539976883792,0.9076762659336635
