dataset,data_fraction,model,tuning_method,iteration,AUC,rf__max_depth,rf__min_samples_split,rf__n_estimators,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample,sgd__alpha,sgd__l1_ratio,sgd__penalty
qsar-biodeg,0.25,XGBoost,RandomSearch,40,0.8337367932195519,,,,0.4465198567657794,10,1373,0.42066805426927745,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,1,0.8411267850923023,,,,0.016994636371262764,11,1866,0.3842196341383438,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,2,0.8388656681760132,,,,0.3252108800594495,13,608,0.9561015159339965,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,3,0.8571026355509115,,,,0.02160217783087772,14,212,0.4899995216832027,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,4,0.8389817717403925,,,,0.2736452822078245,3,1197,0.8224883030406795,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,5,0.8405230465575293,,,,0.25041499136197737,7,1054,0.7441419358963297,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,6,0.8357221641704401,,,,0.15925169151603527,14,329,0.26958276258888714,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,7,0.8447056774642981,,,,0.07099668574083867,12,719,0.8868927658010121,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,8,0.8437042842215257,,,,0.042678505501429924,14,994,0.853890793354474,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,9,0.8216446069894345,,,,0.7352481813242628,11,1744,0.47423897882150823,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,10,0.8613113897596656,,,,0.0010253943538922508,12,1483,0.32909883207764046,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,11,0.8167595495181702,,,,0.001,5,2,0.9803010540351944,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,12,0.6591213862765587,,,,0.001,15,2,0.17829481590242593,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,13,0.8337948450017416,,,,0.2596994878484805,8,1067,0.6938400678433491,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,14,0.8130297225124812,,,,1.0,14,2,0.5517503622761768,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,15,0.8505805178218971,,,,0.0022882857424250014,14,85,0.1,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,16,0.8597933356554046,,,,0.2045578000552072,12,1194,0.10749921711229947,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,17,0.8361952861952863,,,,0.2933591950649819,2,1857,0.8348792595171456,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,18,0.8504876349703936,,,,1.0,12,2000,0.7829222298129186,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,19,0.8456141878555672,,,,0.001,12,1887,0.1,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,20,0.830349471728782,,,,0.2868634618425619,1,1793,0.94273870634851,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,21,0.8493004760246139,,,,0.0010000582824868014,10,1913,0.9490615282211157,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,22,0.8582143271798445,,,,0.001631416278290585,10,1967,0.5676106953121247,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,23,0.8319894345756416,,,,0.04270110703287447,9,1926,0.20297091785966098,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,24,0.8067586787414374,,,,1.0,13,1392,0.15739844750287563,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,25,0.797331069313828,,,,1.0,10,1046,0.1,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,26,0.8322376059445025,,,,0.001,13,413,1.0,,,
