trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
14,1,-0.1547974072432906,0.1547974072432906,19.617016,"{'n_estimators': 1271, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.7}",1271,log_loss,15.0,11,3,sqrt,0.7,Gym,0.1786213871377209
15,1,-0.1551188189316784,0.1551188189316784,20.890242,"{'n_estimators': 1250, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': 0.7}",1250,log_loss,15.0,13,2,0.33,0.7,Gym,0.1786213871377209
16,2,-0.15362518790014681,0.15362518790014681,5.362279,"{'n_estimators': 1219, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.7}",1219,gini,15.0,11,3,sqrt,0.7,Gym,0.1786213871377209
17,2,-0.16012985339799862,0.16012985339799862,5.060511,"{'n_estimators': 1436, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': 0.7}",1436,log_loss,15.0,7,2,0.1,0.7,Gym,0.1786213871377209
18,1,-0.1548603951298629,0.1548603951298629,31.122614,"{'n_estimators': 1172, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': None}",1172,log_loss,15.0,10,3,sqrt,,Gym,0.1786213871377209
19,1,-0.1552366280325757,0.1552366280325757,25.52985,"{'n_estimators': 1136, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 0.33, 'max_samples': 0.7}",1136,log_loss,15.0,14,7,0.33,0.7,Gym,0.1786213871377209
20,2,-0.153821031597057,0.153821031597057,6.644135,"{'n_estimators': 1498, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",1498,gini,15.0,11,1,sqrt,0.7,Gym,0.1786213871377209
21,1,-0.15480388854283605,0.15480388854283605,26.608434,"{'n_estimators': 1111, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': None}",1111,log_loss,15.0,10,3,sqrt,,Gym,0.1786213871377209
22,1,-0.15478416579930415,0.15478416579930415,19.112086,"{'n_estimators': 1088, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': None}",1088,log_loss,15.0,10,3,sqrt,,Gym,0.1786213871377209
23,1,-0.15528312986462453,0.15528312986462453,18.195759,"{'n_estimators': 824, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': None}",824,log_loss,15.0,13,4,sqrt,,Gym,0.1786213871377209
24,1,-0.15552558517458723,0.15552558517458723,34.419529,"{'n_estimators': 1368, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",1368,log_loss,15.0,8,2,sqrt,,Gym,0.1786213871377209
25,1,-0.15502263339457464,0.15502263339457464,13.941068,"{'n_estimators': 824, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': None}",824,log_loss,15.0,12,3,sqrt,,Gym,0.1786213871377209
26,1,-0.15473447079366281,0.15473447079366281,17.668149,"{'n_estimators': 1078, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': None}",1078,log_loss,15.0,7,4,sqrt,,Gym,0.1786213871377209
27,1,-0.1546834957246269,0.1546834957246269,23.21722,"{'n_estimators': 1366, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': None}",1366,log_loss,15.0,4,5,sqrt,,Gym,0.1786213871377209
28,1,-0.15511879851125512,0.15511879851125512,16.742583,"{'n_estimators': 1064, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': None}",1064,log_loss,15.0,2,6,sqrt,,Gym,0.1786213871377209
29,2,-0.16639780115267144,0.16639780115267144,2.596787,"{'n_estimators': 1314, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 0.1, 'max_samples': None}",1314,gini,,4,8,0.1,,Gym,0.1786213871377209
30,1,-0.15483058598796431,0.15483058598796431,14.843529,"{'n_estimators': 905, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': None}",905,log_loss,15.0,6,5,sqrt,,Gym,0.1786213871377209
31,1,-0.1547143173674697,0.1547143173674697,22.14917,"{'n_estimators': 1316, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': None}",1316,log_loss,15.0,4,5,sqrt,,Gym,0.1786213871377209
32,1,-0.1547895590674855,0.1547895590674855,11.398223,"{'n_estimators': 688, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': None}",688,log_loss,15.0,4,5,sqrt,,Gym,0.1786213871377209
33,2,-0.15350373369091647,0.15350373369091647,3.711328,"{'n_estimators': 1349, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 0.25, 'max_samples': None}",1349,log_loss,15.0,5,6,0.25,,Gym,0.1786213871377209
34,2,-0.15267866608752578,0.15267866608752578,5.33045,"{'n_estimators': 1494, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_samples': None}",1494,log_loss,,3,7,sqrt,,Gym,0.1786213871377209
35,2,-0.15286789064583958,0.15286789064583958,2.918509,"{'n_estimators': 1044, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 0.25, 'max_samples': None}",1044,entropy,15.0,6,4,0.25,,Gym,0.1786213871377209
36,2,-0.15193192091404772,0.15193192091404772,3.654931,"{'n_estimators': 1175, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1175,log_loss,15.0,7,5,sqrt,0.9,Gym,0.1786213871377209
37,2,-0.16728840084444802,0.16728840084444802,2.51206,"{'n_estimators': 1388, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 0.1, 'max_samples': 0.5}",1388,entropy,10.0,5,6,0.1,0.5,Gym,0.1786213871377209
