iter	Passed	Remaining
845	12751	2321
846	12764	2305
847	12778	2290
848	12791	2275
849	12804	2259
850	12816	2244
851	12830	2228
852	12843	2213
853	12856	2197
854	12869	2182
855	12883	2167
856	12896	2151
857	12909	2136
858	12922	2121
859	12935	2105
860	12949	2090
861	12963	2075
862	12976	2060
863	12989	2044
864	13002	2029
865	13015	2013
866	13029	1998
867	13042	1983
868	13056	1968
869	13069	1952
870	13083	1937
871	13096	1922
872	13109	1907
873	13123	1891
874	13136	1876
875	13150	1861
876	13163	1846
877	13177	1831
878	13190	1815
879	13204	1800
880	13216	1785
881	13230	1770
882	13242	1754
883	13255	1739
884	13269	1724
885	13282	1709
886	13295	1693
887	13308	1678
888	13322	1663
889	13335	1648
890	13349	1633
891	13362	1617
892	13375	1602
893	13388	1587
894	13401	1572
895	13414	1557
896	13428	1541
897	13441	1526
898	13454	1511
899	13467	1496
900	13480	1481
901	13493	1465
902	13507	1450
903	13520	1435
904	13534	1420
905	13547	1405
906	13560	1390
907	13573	1375
908	13586	1360
909	13599	1345
910	13613	1329
911	13626	1314
912	13640	1299
913	13654	1284
914	13667	1269
915	13681	1254
916	13694	1239
917	13707	1224
918	13721	1209
919	13735	1194
920	13750	1179
921	13764	1164
922	13777	1149
923	13790	1134
924	13803	1119
925	13821	1104
926	13842	1090
927	13855	1074
928	13867	1059
929	13880	1044
930	13894	1029
931	13907	1014
932	13920	999
933	13934	984
934	13948	969
935	13962	954
936	13975	939
937	13988	924
938	14001	909
939	14014	894
940	14027	879
941	14041	864
942	14055	849
943	14068	834
944	14081	819
945	14094	804
946	14108	789
947	14121	774
948	14134	759
949	14147	744
950	14160	729
951	14174	714
952	14191	699
953	14203	684
954	14217	669
955	14230	654
956	14243	639
957	14257	625
958	14272	610
959	14286	595
960	14298	580
961	14312	565
962	14326	550
963	14339	535
964	14353	520
965	14368	505
966	14381	490
967	14395	475
968	14409	460
969	14423	446
970	14437	431
971	14450	416
972	14464	401
973	14477	386
974	14493	371
975	14506	356
976	14520	341
977	14534	326
978	14548	312
979	14561	297
980	14574	282
981	14588	267
982	14602	252
983	14615	237
984	14630	222
985	14643	207
986	14657	193
987	14670	178
988	14684	163
989	14704	148
990	14719	133
991	14735	118
992	14749	103
993	14764	89
994	14777	74
995	14790	59
996	14803	44
997	14816	29
998	14830	14
999	14844	0
